ncm_code;item_no;question_text;expected_answer;source_diagnos_pdf;source_facit_pdf;answer_source;extraction_confidence;ncm_domain_tag;operation_tag;ability_tags
AS1;1;67 + 86;153;AS1%20diagnos.pdf;AS1%20facit.pdf;facit;high;arithmetic;addition;ncm_arithmetic|ncm_written_method|op_addition|multi_digit
AS1;2;264 + 83;347;AS1%20diagnos.pdf;AS1%20facit.pdf;facit;high;arithmetic;addition;ncm_arithmetic|ncm_written_method|op_addition|multi_digit
AS1;3;429 + 156;585;AS1%20diagnos.pdf;AS1%20facit.pdf;facit;high;arithmetic;addition;ncm_arithmetic|ncm_written_method|op_addition|multi_digit
AS1;4;347 + 288;635;AS1%20diagnos.pdf;AS1%20facit.pdf;facit;high;arithmetic;addition;ncm_arithmetic|ncm_written_method|op_addition|multi_digit
AS1;5;739 + 468;1207;AS1%20diagnos.pdf;AS1%20facit.pdf;facit;high;arithmetic;addition;ncm_arithmetic|ncm_written_method|op_addition|multi_digit
AS2;1;82 – 47;35;AS2%20diagnos.pdf;AS2%20facit.pdf;facit;high;arithmetic;subtraction;ncm_arithmetic|ncm_written_method|op_subtraction|multi_digit
AS2;2;146 – 69;77;AS2%20diagnos.pdf;AS2%20facit.pdf;facit;high;arithmetic;subtraction;ncm_arithmetic|ncm_written_method|op_subtraction|multi_digit
AS2;3;632 – 427;205;AS2%20diagnos.pdf;AS2%20facit.pdf;facit;high;arithmetic;subtraction;ncm_arithmetic|ncm_written_method|op_subtraction|multi_digit
AS2;4;541 – 275;266;AS2%20diagnos.pdf;AS2%20facit.pdf;facit;high;arithmetic;subtraction;ncm_arithmetic|ncm_written_method|op_subtraction|multi_digit
AS2;5;703 – 256;447;AS2%20diagnos.pdf;AS2%20facit.pdf;facit;high;arithmetic;subtraction;ncm_arithmetic|ncm_written_method|op_subtraction|multi_digit
AS4;1;4 · 27;108;AS4%20diagnos.pdf;AS4%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication
AS4;2;6 · 47;282;AS4%20diagnos.pdf;AS4%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication
AS4;3;7 · 63;441;AS4%20diagnos.pdf;AS4%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication
AS4;4;8 · 67;536;AS4%20diagnos.pdf;AS4%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication
AS4;5;4 · 279;1116;AS4%20diagnos.pdf;AS4%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication
AS7;1;36 · 20;720;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS7;2;40 · 27;1080;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS7;3;42 · 61;2562;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS7;4;47 · 36;1692;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS7;5;87 · 69;6003;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS7;6;23 · 154;3542;AS7%20diagnos.pdf;AS7%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|ncm_written_method|op_multiplication|multi_digit
AS9;1;3,26 + 8,37;11,63;AS9%20diagnos.pdf;AS9%20facit.pdf;facit;high;arithmetic;mixed;ncm_arithmetic|concept_decimal|op_addition|op_subtraction
AS9;2;6,052 + 5,659;11,711;AS9%20diagnos.pdf;AS9%20facit.pdf;facit;high;arithmetic;mixed;ncm_arithmetic|concept_decimal|op_addition|op_subtraction
AS9;3;13,62 – 5,41;8,21;AS9%20diagnos.pdf;AS9%20facit.pdf;facit;high;arithmetic;mixed;ncm_arithmetic|concept_decimal|op_addition|op_subtraction
AS9;4;6,27 – 5,84;0,43;AS9%20diagnos.pdf;AS9%20facit.pdf;facit;high;arithmetic;mixed;ncm_arithmetic|concept_decimal|op_addition|op_subtraction
AS9;5;13,345 – 8,267;5,078;AS9%20diagnos.pdf;AS9%20facit.pdf;facit;high;arithmetic;mixed;ncm_arithmetic|concept_decimal|op_addition|op_subtraction
AS10;1;27 · 0,8;21,6;AS10%20diagnos.pdf;AS10%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|concept_decimal|op_multiplication
AS10;2;8,9 · 0,6;5,34;AS10%20diagnos.pdf;AS10%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|concept_decimal|op_multiplication
AS10;3;1,42 · 2,5;3,55;AS10%20diagnos.pdf;AS10%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|concept_decimal|op_multiplication
AS10;4;26,4 · 0,15;3,96;AS10%20diagnos.pdf;AS10%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|concept_decimal|op_multiplication
AS10;5;0,045 · 26,4;1,188;AS10%20diagnos.pdf;AS10%20facit.pdf;facit;high;arithmetic;multiplication;ncm_arithmetic|concept_decimal|op_multiplication
